lens_name,slope_lensing,le_slope_lensing,ue_slope_lensing,slope_ld,slope_ld_err,z_lens,z_source,v_disp,r_ein_pl_kpc,r_ein_sie_kpc,r_eff_dev_kpc,r_eff_sersic_kpc,M_tot_lensing,sigma_tot_lensing,M_tot_ld,sigma_tot_ld
SLACS0216-0813,1.9878814045104194,0.05622457859512897,0.04530164786220703,2.09,0.2,0.332,0.523,333,5.6431567191958525,5.534763785673823,12.739499403231989,9.100621418242628,11.759671568940558,9.54936684334777,11.745119012028182,9.534814286435394
SLACS0252+0039,1.9167560572281046,0.10836415055774196,0.08289854375077943,1.57,0.12,0.28,0.982,164,4.344711515248968,4.413823388196804,5.899244720763036,3.4336032676624666,11.05246052015072,9.510867695036525,10.99804483250225,9.456452007388055
SLACS0330-0020,2.149911204556319,0.020937213978029945,0.022383447853684846,1.91,0.18,0.351,1.071,212,5.386561601299946,5.44382038077114,5.938713142659425,1.9888060925906221,11.171575795846516,9.624191099685085,11.113701798172025,9.566317102010593
SLACS0728+3835,1.989927193724793,0.09537881075446797,0.12153092286935396,1.86,0.1,0.206,0.688,214,4.2003866873792886,4.220843160218327,6.010480660150897,11.31508837993525,11.155244398150495,9.597425990017177,11.138166226074626,9.580347817941307
SLACS0822+2652,2.1010214109515366,0.07320183464579344,0.08418301298854525,2.12,0.14,0.241,0.594,259,4.297692532277682,4.452228433279098,6.9256886739897086,9.161032984634138,11.261226603409272,9.580300673223576,11.280189988843558,9.599264058657862
SLACS0912+0029,2.1446730632559112,0.05010911249920902,0.04836975635901064,1.98,0.09,0.164,0.324,326,3.9191569984148455,4.587426203583432,10.891619268630603,6.927808599690007,11.588016395646065,9.51383149248847,11.678552103408858,9.604367200251263
SLACS0936+0913,2.1257515609857167,0.07623955157573414,0.07666749445342003,2.24,0.12,0.19,0.588,243,3.425259420280219,3.4540908691079495,6.686359388823645,5.292822187468318,11.15571607800812,9.505336645972358,11.161433501061554,9.511054069025791
SLACS0946+1006,2.0627089989684704,0.032441719050742446,0.03388697971167742,2.01,0.18,0.222,0.609,263,5.038961648464937,4.936150522634339,8.40576357115268,4.50987325659326,11.40535159960591,9.556197258718601,11.39215626819867,9.543001927311362
SLACS0956+5100,2.053272449306749,0.0151168315914747,0.01536786971130022,2.3,0.09,0.241,0.47,334,4.998342808621218,5.061080184838633,8.333658349471133,6.904668848910009,11.48736778864792,9.645696404752137,11.513906617413912,9.67223523351813
SLACS0959+0410,2.0751894889925278,0.07144932408364735,0.07479196455376202,2.05,0.15,0.126,0.535,197,2.22222071271058,2.2334682686559217,3.1358796903350816,2.554224591745048,10.735537320223477,9.742818535429464,10.734024401076235,9.741305616282222
