lens_name,slope_ld,slope_ld_err,z_lens,z_source,v_disp,r_ein_sie_kpc,r_eff_dev_kpc,M_tot_ld,sigma_tot_ld
GALLERY1110+3649,2.56,,0.733,2.5024,531,8.439400591911776,2.8373846817634423,11.310148347927548,10.404311908382645
GALLERY1116+0915,2.23,,0.5501,2.4536,274,6.604560993681325,6.283951236706503,11.178369166610253,9.581903554075353
GALLERY1141+2216,2.22,,0.5858,2.7624,285,8.395860919621839,2.908802208372921,11.027010884463863,10.099582501944054
GALLERY1201+4743,2.09,,0.5628,2.1258,239,7.6520377010785126,3.1126933021336325,10.944688233309666,9.95841557096989
GALLERY1226+5457,2.06,,0.498,2.7322,248,8.344893568233207,3.4110513855551794,10.974242773338517,9.908466249624883
GALLERY2228+1205,2.13,,0.5305,2.8324,255,8.058773220391538,3.3368357865683715,10.990221868516509,9.943552199433485
GALLERY2342-0120,2.3,,0.527,2.2649,274,6.964799519789011,10.980539783451142,11.411096903052568,9.329849523514367
BELLS0151+0049 ,2.47,0.26,0.5171,1.3636,219,4.225073872752007,12.67522161825602,11.234187132170158,9.02827600929641
BELLS0747+5055 ,2.58,0.26,0.4384,0.8983,328,4.255239464199578,7.205538826044618,11.22603623689372,9.510703311582425
BELLS0747+4448 ,2.51,0.31,0.4366,0.8966,281,3.4526836419439126,15.848383930234354,11.251516773282596,8.851546806227349
BELLS0801+4727 ,1.54,0.27,0.4831,1.5181,98,2.9361102750498875,10.905552450185297,11.188316187374362,9.113020845712764
BELLS0830+5116 ,2.08,0.25,0.5301,1.3317,268,7.174576797347465,7.174576797347465,11.333281688321236,9.621689110957904
BELLS0944−0147 ,2.04,0.3,0.539,1.1785,204,4.633302339234745,11.868870375847909,11.375249972291899,9.226431198726635
BELLS1159−0007 ,2.37,0.51,0.5793,1.3457,165,4.4716435411479205,14.598600972571152,11.345493535230165,9.016871059141431
BELLS1215+0047 ,1.79,0.28,0.6423,1.297,262,9.444151707425313,14.476436923790624,11.76126057678558,9.439937212007244
BELLS1221+3806 ,2.06,0.39,0.5348,1.2844,187,4.425314943979037,12.64375698279725,11.347973042787528,9.144220762859977
BELLS1234−0241 ,1.9,0.45,0.49,1.0159,122,3.2003388990756765,20.530475956334524,11.541733981074259,8.916935945673194
BELLS1318−0104 ,1.81,0.3,0.6591,1.3959,177,4.740011895191867,17.07798403414717,11.585184094757514,9.12031088834182
BELLS1337+3620 ,1.73,0.25,0.5643,1.1821,225,9.025562637371646,12.207235797308414,11.645384613168032,9.472149946029043
BELLS1349+3612 ,1.53,0.23,0.4396,0.8926,178,4.261974113399166,2.670837111063477,10.520132479674592,9.666837675495156
BELLS1352+3216 ,1.46,0.19,0.4634,1.0341,161,10.65743782359237,10.833109875629606,11.5592585955854,9.489752299519019
BELLS1522+2910 ,1.71,0.26,0.5553,1.3108,166,4.767207167672206,7.92387137329299,11.16357494648234,9.365700112275437
BELLS1541+1812 ,1.82,0.28,0.5603,1.1133,174,4.141220993678963,14.1707405877452,11.48222269238711,9.17943759672403
BELLS1542+1629 ,1.91,0.21,0.3521,1.0233,210,5.157333881087774,12.447026963009915,11.452333119521063,9.26220185886619
